课程号,课序号,课程名,开课系所,容量,选课人数,余量,总学时,学分,星期,节次,持续节次,上课地点,上课周次,教师号1,教师名1,教师号2,教师名2,面向学生
00L008T,01,军事领导科学与方法,选培办,225,0,225,32,2,5,1,2,主校区第九教学楼中102,1-16周,xpb,选培办,,,
00L017T,01,成功之道--前途及领袖发展课程,心理中心,150,150,0,32,2,2,4,2,主校区思源楼SY109,1-16周,xlzx_zhl,张华伦,,,
00L021T,01,大学生健康教育,心理中心,250,250,0,32,2,1,6,2,主校区思源楼SY107,"2,16周上",3846,李海红,,,
00L021T,02,大学生健康教育,心理中心,250,250,0,32,2,1,6,2,主校区思源楼SY108,"2,16周上",3846,李海红,,,
00L021T,03,大学生健康教育,心理中心,250,250,0,32,2,2,6,2,主校区思源楼SY107,"2,16周上",3846,李海红,,,
00L021T,04,大学生健康教育,心理中心,250,250,0,32,2,2,6,2,主校区思源楼SY108,"2,16周上",3846,李海红,,,
00L032T,01,大学生心理学,心理中心,0,0,0,24,1.5,1,1,2,主校区思源西楼SX403,2-13周上,7955,牛勇,,,思源1101 思源1102 思源1103 *
00L032T,02,大学生心理学,心理中心,0,0,0,24,1.5,1,2,2,主校区思源西楼SX403,2-13周上,7955,牛勇,,,机电1101 机电1102 机电1103 *
00L032T,03,大学生心理学,心理中心,0,0,0,24,1.5,1,4,2,东校区东教一楼DQ103,2-13周上,7955,牛勇,,,通信1101 通信1102
00L032T,04,大学生心理学,心理中心,0,0,0,24,1.5,1,1,2,主校区思源西楼SX402,2-13周上,5948,田宝伟,,,思源1104 思源1105 思源1106 *
00L032T,05,大学生心理学,心理中心,0,0,0,24,1.5,1,2,2,主校区思源西楼SX402,2-13周上,5948,田宝伟,,,机电1104 机电1105 机电1106 *
00L032T,06,大学生心理学,心理中心,1,1,0,24,1.5,5,1,2,主校区思源楼SY101,2-13周上,5948,田宝伟,,,通信1103 通信1104 通信1105 *
00L032T,07,大学生心理学,心理中心,0,0,0,24,1.5,1,1,2,主校区思源西楼SX401,2-13周上,7679,鲁小华,,,信科1101 信科1102 信科1103 信科1104 *
00L032T,08,大学生心理学,心理中心,0,0,0,24,1.5,3,1,2,主校区思源西楼SX401,2-13周上,7679,鲁小华,,,计科1101 计科1102 计科1103 计科1104 *
00L032T,09,大学生心理学,心理中心,0,0,0,24,1.5,1,4,2,东校区东教一楼DQ105,2-13周上,7679,鲁小华,,,通信1106 通信1107 通信1108 *
00L032T,10,大学生心理学,心理中心,0,0,0,24,1.5,1,1,2,主校区思源西楼SX405,2-13周上,7946,张驰,,,光科1101 光科1102 光科1103 光科1104 *
00L032T,11,大学生心理学,心理中心,0,0,0,24,1.5,1,2,2,主校区思源西楼SX405,2-13周上,7946,张驰,,,机电1110 机电1111 机电1112 *
